"FECHA","HORA","ACO","AJM","ATI","BJU","CAM","CCA","CHO","COY","CUA","CUT","FAC","FAR","GAM","HGM","INN","IZT","LLA","LPR","MER","MGH","MON","MPA","NEZ","PED","SAC","SAG","SFE","SJA","TAH","TLA","TLI","UAX","UIZ","VIF","XAL"
"2019-01-01",1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
"2019-01-01",2,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
"2019-01-01",3,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
"2019-01-01",4,-99,1,15,15,17,15,13,-99,14,9,16,-99,16,17,-99,17,14,-99,17,17,-99,-99,17,14,-99,15,7,-99,11,14,-99,14,16,18,17
"2019-01-01",5,-99,1,12,15,16,13,12,-99,16,8,14,-99,15,17,-99,16,12,-99,19,17,-99,-99,16,9,-99,14,6,-99,7,14,-99,14,16,16,16
"2019-01-01",6,-99,1,12,14,16,12,10,-99,11,8,11,-99,14,17,-99,16,11,-99,17,16,-99,-99,15,10,-99,14,5,-99,7,13,-99,12,15,11,14
"2019-01-01",7,-99,2,11,14,15,10,10,-99,10,7,11,-99,13,16,-99,16,11,-99,16,16,-99,-99,12,7,-99,13,6,-99,6,13,-99,12,14,12,14
"2019-01-01",8,-99,2,10,13,15,9,10,-99,11,5,9,-99,12,15,-99,14,11,-99,16,15,-99,-99,10,8,-99,11,8,-99,5,11,-99,10,14,10,13
"2019-01-01",9,-99,5,10,13,14,9,8,-99,9,7,10,-99,18,17,-99,13,20,-99,16,15,-99,-99,19,7,-99,13,8,-99,11,12,-99,13,15,14,20
"2019-01-01",10,-99,5,10,14,15,11,8,-99,3,14,12,-99,22,21,-99,15,27,-99,28,12,-99,-99,17,7,-99,21,9,-99,7,20,-99,13,13,16,26
"2019-01-01",11,-99,6,7,18,12,11,4,-99,2,13,10,-99,14,17,-99,19,17,-99,21,9,-99,-99,16,10,-99,13,7,-99,10,25,-99,10,17,14,21
"2019-01-01",12,-99,9,3,17,12,15,4,-99,5,7,10,-99,7,12,-99,17,9,-99,14,7,-99,-99,6,12,-99,10,6,-99,9,11,-99,9,12,9,10
"2019-01-01",13,-99,10,4,11,9,10,2,-99,5,5,10,-99,4,14,-99,10,8,-99,11,10,-99,-99,5,15,-99,6,6,-99,6,11,-99,10,6,4,9
"2019-01-01",14,-99,8,6,7,8,6,2,-99,6,3,8,-99,3,9,-99,6,6,-99,9,12,-99,-99,6,10,-99,5,7,-99,3,8,-99,8,7,5,6
"2019-01-01",15,-99,7,7,5,7,7,2,-99,5,3,8,-99,4,9,-99,7,8,-99,8,11,-99,-99,4,8,-99,6,7,-99,2,10,-99,6,6,5,7
