"FECHA","HORA","ACO","AJM","AJU","ATI","BJU","CAM","CCA","CHO","COY","CUA","CUT","FAC","FAR","GAM","HGM","INN","IZT","LLA","LPR","MER","MGH","MON","MPA","NEZ","PED","SAC","SAG","SFE","SJA","TAH","TLA","TLI","UAX","UIZ","VIF","XAL"
"2019-01-01",1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
"2019-01-01",2,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
"2019-01-01",3,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
"2019-01-01",4,-99,25,-99,1,1,4,1,4,-99,14,2,2,-99,2,1,-99,1,3,2,1,1,-99,-99,7,8,-99,3,16,-99,8,1,6,4,2,7,3
"2019-01-01",5,-99,26,-99,3,0,3,1,3,-99,10,3,1,-99,1,1,-99,1,4,4,1,1,-99,-99,6,11,-99,1,17,-99,9,1,7,4,2,6,2
"2019-01-01",6,-99,26,-99,1,1,2,1,2,-99,14,1,1,-99,1,1,-99,1,4,4,1,1,-99,-99,9,9,-99,1,18,-99,8,1,5,4,3,5,2
"2019-01-01",7,-99,23,-99,1,1,2,4,2,-99,14,1,1,-99,1,1,-99,1,4,3,1,1,-99,-99,5,12,-99,1,17,-99,9,1,5,4,3,4,2
"2019-01-01",8,-99,24,-99,1,1,2,4,1,-99,10,1,2,-99,1,2,-99,2,3,3,1,1,-99,-99,6,9,-99,1,11,-99,9,3,5,4,3,4,1
"2019-01-01",9,-99,21,-99,6,6,8,9,7,-99,16,1,6,-99,3,7,-99,9,4,4,6,8,-99,-99,4,17,-99,3,14,-99,9,6,7,6,8,4,3
"2019-01-01",10,-99,28,-99,23,16,23,21,19,-99,24,17,19,-99,16,20,-99,23,18,20,19,23,-99,-99,13,28,-99,15,24,-99,25,21,16,23,25,13,17
"2019-01-01",11,-99,39,-99,33,33,41,39,32,-99,29,38,36,-99,42,39,-99,39,40,40,39,36,-99,-99,35,41,-99,36,36,-99,46,32,33,44,41,31,34
"2019-01-01",12,-99,63,-99,37,49,59,71,39,-99,36,61,44,-99,69,51,-99,49,49,53,63,44,-99,-99,47,78,-99,49,44,-99,78,39,50,76,63,46,46
"2019-01-01",13,-99,109,-99,49,69,90,98,31,-99,42,67,53,-99,84,76,-99,90,84,100,69,78,-99,-99,65,120,-99,50,63,-99,69,67,73,104,73,44,71
"2019-01-01",14,-99,124,-99,76,114,108,102,29,-99,49,55,101,-99,90,96,-99,84,88,96,86,104,-99,-99,80,128,-99,67,104,-99,42,92,104,115,109,73,69
"2019-01-01",15,-99,119,-99,92,117,115,108,34,-99,57,71,107,-99,104,104,-99,109,109,86,106,110,-99,-99,59,127,-99,78,112,-99,40,84,100,109,116,65,71
"2019-01-01",16,-99,105,-99,90,106,104,111,37,-99,86,80,109,-99,101,105,-99,101,104,84,105,104,-99,-99,41,122,-99,69,118,-99,39,86,109,67,65,59,71
"2019-01-01",17,-99,55,-99,92,55,94,65,36,-99,92,76,106,-99,53,49,-99,41,51,67,44,94,-99,-99,39,105,-99,38,117,-99,39,80,108,38,41,82,46
"2019-01-01",18,-99,45,-99,63,31,37,41,34,-99,41,82,53,-99,37,34,-99,32,36,36,36,34,-99,-99,34,47,-99,28,65,-99,36,44,92,40,38,43,31
"2019-01-01",19,-99,41,-99,23,29,25,36,25,-99,20,40,15,-99,26,23,-99,20,26,28,24,20,-99,-99,27,35,-99,19,26,-99,29,21,31,31,30,21,24
"2019-01-01",20,-99,39,-99,22,19,12,28,19,-99,8,26,11,-99,15,16,-99,15,16,11,11,5,-99,-99,19,29,-99,15,21,-99,25,13,21,21,19,19,8
"2019-01-01",21,-99,31,-99,22,12,7,19,20,-99,22,27,31,-99,3,10,-99,6,7,7,5,22,-99,-99,9,22,-99,6,16,-99,17,15,16,12,7,15,3
"2019-01-01",22,-99,30,-99,17,16,16,16,14,-99,16,22,21,-99,1,21,-99,8,11,19,10,19,-99,-99,9,21,-99,6,9,-99,15,15,14,3,2,13,1
"2019-01-01",23,-99,29,-99,17,11,16,17,11,-99,11,9,22,-99,2,16,-99,11,7,4,4,15,-99,-99,3,22,-99,7,13,-99,13,14,11,4,6,9,1
"2019-01-01",24,-99,31,-99,19,10,12,16,10,-99,13,11,21,-99,3,16,-99,1,8,17,5,15,-99,-99,8,21,-99,7,15,-99,13,14,-99,4,2,7,1
"2019-01-02",1,-99,29,-99,20,9,12,10,8,-99,16,5,14,-99,2,15,-99,1,10,7,4,6,-99,-99,6,21,-99,4,20,-99,11,14,9,3,1,8,1
"2019-01-02",2,-99,27,-99,19,0,11,5,4,-99,16,1,9,-99,1,12,-99,1,4,1,0,1,-99,-99,4,21,-99,1,18,-99,10,10,6,4,1,5,1
"2019-01-02",3,-99,29,-99,15,1,11,7,8,-99,19,1,10,-99,1,4,-99,1,1,1,1,2,-99,-99,4,23,-99,1,16,-99,9,11,6,4,1,4,1
"2019-01-02",4,-99,21,-99,8,0,3,11,1,-99,17,4,14,-99,1,1,-99,1,4,1,1,1,-99,-99,5,21,-99,3,18,-99,7,3,3,4,2,2,1
"2019-01-02",5,-99,13,-99,9,1,1,7,1,-99,13,2,11,-99,1,0,-99,1,1,1,0,3,-99,-99,5,14,-99,2,11,-99,9,2,4,3,2,4,1
"2019-01-02",6,-99,12,-99,3,0,1,2,1,-99,7,1,10,-99,1,0,-99,0,1,1,0,1,-99,-99,2,5,-99,1,6,-99,4,1,1,3,0,4,1
"2019-01-02",7,-99,8,-99,1,0,1,1,1,-99,1,1,3,-99,1,0,-99,0,1,0,0,0,-99,-99,1,1,-99,1,2,-99,4,1,0,2,0,5,1
"2019-01-02",8,-99,9,-99,1,0,1,1,1,-99,1,1,1,-99,1,1,-99,1,1,1,0,1,-99,-99,1,1,-99,1,1,-99,1,1,1,1,1,4,1
"2019-01-02",9,-99,12,-99,3,1,2,4,2,-99,9,3,3,-99,1,1,-99,1,2,2,1,2,-99,-99,2,5,-99,1,9,-99,4,2,1,3,2,5,1
"2019-01-02",10,-99,13,-99,11,3,6,8,9,-99,12,9,8,-99,5,6,-99,7,4,6,5,8,-99,-99,6,11,-99,3,17,-99,16,4,5,11,9,8,5
"2019-01-02",11,-99,19,-99,19,9,13,18,21,-99,15,15,15,-99,15,15,-99,15,9,15,14,15,-99,-99,12,20,-99,9,21,-99,26,11,11,24,16,11,11
"2019-01-02",12,-99,32,-99,16,18,26,31,27,-99,22,24,-99,-99,-99,24,-99,24,26,26,26,28,-99,-99,23,34,-99,21,29,-99,36,24,20,31,25,21,24
"2019-01-02",13,-99,41,-99,29,28,33,41,29,-99,24,38,-99,-99,-99,37,-99,37,34,34,36,34,-99,-99,40,45,-99,31,33,-99,44,31,27,39,40,27,31
"2019-01-02",14,-99,47,-99,34,39,44,48,30,-99,30,44,-99,-99,-99,49,-99,48,39,42,51,43,-99,-99,41,57,-99,39,42,-99,46,36,36,46,53,33,36
"2019-01-02",15,-99,49,-99,39,41,78,61,32,-99,30,49,-99,-99,44,57,-99,59,46,49,57,45,-99,-99,39,67,-99,43,49,-99,43,44,49,50,49,42,43
"2019-01-02",16,-99,51,-99,46,40,65,51,34,-99,27,65,41,-99,42,47,-99,44,41,49,47,44,-99,-99,34,73,-99,34,48,-99,41,51,67,41,46,45,38
"2019-01-02",17,-99,48,-99,47,29,40,33,31,-99,30,53,34,-99,29,35,-99,31,32,32,36,42,-99,-99,29,44,-99,26,51,-99,39,43,61,36,37,36,26
"2019-01-02",18,-99,42,-99,39,19,19,31,30,-99,22,42,15,-99,23,26,-99,23,30,24,26,28,-99,-99,26,40,-99,21,31,-99,34,24,34,32,34,24,21
"2019-01-02",19,-99,33,-99,16,9,8,14,26,-99,16,21,2,-99,21,13,-99,15,18,12,16,16,-99,-99,26,20,-99,16,9,-99,28,4,16,29,29,15,16
"2019-01-02",20,-99,34,-99,1,1,2,17,15,-99,14,3,1,-99,16,9,-99,11,19,8,7,14,-99,-99,15,20,-99,15,9,-99,34,4,19,21,20,11,11
"2019-01-02",21,-99,31,-99,0,0,2,12,9,-99,15,1,1,-99,5,1,-99,9,3,5,2,16,-99,-99,9,22,-99,9,14,-99,16,1,15,19,12,5,5
"2019-01-02",22,-99,25,-99,12,1,2,1,12,-99,14,1,1,-99,1,1,-99,4,3,4,1,9,-99,-99,14,15,-99,1,9,-99,15,-99,1,14,11,1,4
"2019-01-02",23,-99,17,-99,14,1,2,1,6,-99,18,1,1,-99,1,1,-99,1,1,2,1,8,-99,-99,8,4,-99,1,5,-99,14,1,1,12,14,1,2
"2019-01-02",24,-99,17,-99,12,0,1,6,10,-99,9,1,1,-99,1,1,-99,1,1,1,0,1,-99,-99,1,17,-99,0,11,-99,17,1,1,4,8,1,1
