"FECHA","HORA","ACO","AJM","ATI","BJU","CAM","CHO","CUA","CUT","FAC","GAM","HGM","INN","IZT","LLA","LPR","MER","MGH","MPA","PED","SAG","SFE","TAH","TLA","TLI","UIZ","VIF","XAL"
"2019-01-01",1,-99,35,54,44,64,52,38,60,40,48,43,-99,57,-99,-99,55,43,-99,-99,70,30,-99,55,-99,48,94,86
"2019-01-01",2,-99,36,60,46,70,60,43,67,44,49,45,-99,63,-99,-99,61,48,-99,-99,77,33,-99,60,-99,54,103,90
"2019-01-01",3,-99,38,67,51,76,77,51,77,50,49,49,-99,74,-99,-99,67,54,-99,-99,84,35,-99,63,-99,61,107,100
"2019-01-01",4,-99,38,73,58,84,96,61,91,57,50,52,-99,84,-99,-99,73,61,-99,-99,91,38,-99,65,-99,68,115,105
"2019-01-01",5,-99,38,77,64,94,103,70,101,65,-99,58,-99,93,-99,-99,81,70,-99,-99,101,39,-99,68,-99,76,125,109
"2019-01-01",6,-99,38,81,71,101,107,77,105,71,-99,63,-99,101,-99,-99,93,80,-99,-99,105,39,-99,68,-99,86,135,112
"2019-01-01",7,-99,38,86,77,103,111,81,107,74,-99,68,-99,103,-99,-99,102,87,-99,-99,107,40,-99,71,-99,99,143,114
"2019-01-01",8,-99,38,88,81,104,116,84,109,77,-99,76,-99,105,-99,-99,104,93,-99,-99,109,40,-99,73,-99,103,150,117
"2019-01-01",9,-99,38,90,86,105,117,88,110,78,-99,78,-99,107,-99,-99,106,99,-99,-99,111,40,-99,73,-99,105,157,118
"2019-01-01",10,-99,38,91,90,106,117,93,112,83,-99,83,-99,108,-99,-99,107,101,-99,-99,112,40,-99,74,-99,107,161,120
"2019-01-01",11,-99,39,91,93,106,118,94,112,81,-99,87,-99,110,-99,-99,109,102,-99,-99,116,43,-99,78,-99,108,164,122
"2019-01-01",12,-99,40,90,97,107,119,93,113,81,-99,91,-99,111,-99,-99,111,103,-99,-99,117,44,-99,88,-99,110,166,124
"2019-01-01",13,-99,41,93,101,108,118,93,113,83,-99,94,-99,112,-99,-99,112,103,-99,-99,118,46,118,91,-99,112,163,126
"2019-01-01",14,-99,45,97,102,108,120,93,113,83,-99,99,-99,113,-99,-99,112,103,-99,-99,119,49,116,93,-99,112,159,126
"2019-01-01",15,-99,48,99,103,108,119,94,113,86,-99,101,-99,114,-99,-99,113,104,-99,-99,119,51,114,96,-99,113,159,127
"2019-01-01",16,-99,50,100,104,108,119,94,113,87,-99,101,-99,114,-99,-99,113,105,-99,-99,120,52,113,97,-99,114,163,127
"2019-01-01",17,-99,51,99,105,109,118,97,114,88,-99,102,-99,115,-99,-99,114,106,-99,-99,120,55,111,99,-99,114,162,128
"2019-01-01",18,-99,51,99,105,109,117,100,114,87,-99,102,-99,115,-99,-99,114,106,-99,-99,121,60,110,97,-99,113,162,128
"2019-01-01",19,-99,51,99,105,109,117,101,115,88,-99,102,-99,115,-99,-99,114,106,-99,-99,120,61,109,97,-99,112,162,128
"2019-01-01",20,-99,50,100,105,109,117,101,116,88,-99,102,-99,115,-99,-99,114,106,-99,-99,120,61,107,97,-99,113,162,128
"2019-01-01",21,-99,48,100,105,109,117,101,115,90,-99,102,-99,115,-99,-99,114,106,-99,-99,120,63,106,97,-99,113,161,127
"2019-01-01",22,-99,45,100,105,108,116,101,114,90,-99,102,-99,114,-99,-99,114,106,-99,-99,120,63,107,96,-99,112,163,127
"2019-01-01",23,-99,45,99,105,108,114,100,114,88,-99,102,-99,115,-99,-99,114,105,-99,-99,120,63,107,93,-99,112,160,128
"2019-01-01",24,-99,45,96,104,107,114,96,114,88,-99,102,-99,115,-99,-99,114,105,-99,-99,119,61,106,91,-99,112,159,128
"2019-01-02",1,-99,45,93,104,106,113,93,113,86,-99,101,-99,114,-99,-99,114,104,-99,-99,118,61,105,90,-99,112,155,127
"2019-01-02",2,-99,45,88,103,105,112,88,111,83,-99,101,-99,113,-99,-99,113,103,-99,-99,116,61,103,87,-99,111,151,126
"2019-01-02",3,-99,45,81,102,104,108,81,108,78,-99,99,-99,112,-99,-99,113,102,-99,-99,114,60,99,86,-99,110,147,123
"2019-01-02",4,-99,46,77,101,102,104,71,105,71,-99,96,-99,110,-99,-99,112,99,-99,-99,113,57,91,83,-99,108,139,119
"2019-01-02",5,-99,46,74,97,94,97,65,103,64,-99,91,-99,108,-99,-99,111,90,-99,-99,111,55,83,80,-99,107,131,116
"2019-01-02",6,-99,49,71,93,88,84,58,96,58,-99,88,-99,106,-99,-99,108,83,-99,-99,109,54,81,80,-99,106,122,114
"2019-01-02",7,-99,50,67,88,84,71,54,90,55,-99,84,-99,105,-99,-99,107,77,-99,-99,108,54,78,78,-99,104,114,112
"2019-01-02",8,-99,51,67,87,83,64,51,86,54,-99,83,-99,104,-99,-99,105,73,-99,-99,107,55,77,80,-99,102,108,109
"2019-01-02",9,-99,51,67,87,84,63,49,81,54,-99,83,-99,104,-99,-99,105,71,-99,-99,106,55,77,80,-99,100,102,108
"2019-01-02",10,-99,52,65,87,86,64,46,73,51,-99,83,-99,103,-99,-99,105,68,-99,-99,105,55,73,81,-99,97,90,107
"2019-01-02",11,-99,54,65,90,87,64,46,68,55,-99,83,-99,103,-99,-99,105,70,-99,-99,104,55,71,83,-99,94,83,107
"2019-01-02",12,-99,55,68,90,90,64,48,70,58,-99,83,-99,103,-99,-99,105,74,-99,-99,104,57,65,78,-99,93,80,107
"2019-01-02",13,-99,55,73,90,91,64,51,73,58,-99,83,-99,104,-99,-99,105,77,-99,-99,104,60,63,78,-99,93,78,106
"2019-01-02",14,-99,54,74,90,97,64,55,76,60,-99,81,-99,103,-99,-99,105,77,-99,-99,105,63,63,78,-99,96,77,107
"2019-01-02",15,-99,52,74,88,99,65,58,78,60,-99,83,-99,104,-99,-99,105,76,-99,-99,105,64,64,78,-99,96,80,107
"2019-01-02",16,-99,52,74,88,100,67,61,78,64,-99,84,-99,105,-99,-99,105,76,-99,-99,105,67,65,78,-99,93,77,107
"2019-01-02",17,-99,54,74,90,100,70,61,78,68,-99,86,-99,105,-99,-99,106,76,-99,-99,105,68,67,80,-99,91,77,107
"2019-01-02",18,-99,55,76,88,99,73,58,81,70,-99,86,-99,105,-99,-99,106,77,-99,-99,105,70,70,81,-99,93,76,108
"2019-01-02",19,-99,57,77,88,99,73,57,83,70,-99,86,-99,105,-99,-99,106,78,-99,-99,105,67,71,81,-99,94,74,108
"2019-01-02",20,-99,58,74,88,99,77,57,80,71,-99,86,-99,105,-99,-99,106,80,-99,-99,105,67,73,83,-99,94,74,109
"2019-01-02",21,-99,58,74,88,100,78,55,84,71,-99,86,-99,105,-99,-99,106,78,-99,-99,105,65,74,84,-99,96,73,109
"2019-01-02",22,-99,58,73,88,101,80,52,88,73,-99,86,-99,105,-99,-99,106,76,-99,-99,105,64,-99,84,-99,96,70,110
"2019-01-02",23,-99,57,74,88,101,78,51,91,74,-99,86,-99,103,-99,-99,106,74,-99,-99,105,61,-99,86,-99,96,77,109
"2019-01-02",24,-99,55,73,87,102,76,49,93,76,-99,86,-99,103,-99,-99,106,73,-99,-99,106,60,-99,86,-99,94,78,108
"2019-01-03",1,-99,54,74,88,102,74,46,96,76,-99,86,-99,103,-99,-99,106,71,-99,-99,107,58,-99,87,-99,93,84,109
"2019-01-03",2,-99,54,77,87,102,74,46,99,77,-99,86,-99,103,-99,-99,106,70,-99,-99,108,57,-99,87,-99,91,91,109
"2019-01-03",3,-99,54,78,86,102,74,45,101,77,-99,84,-99,103,-99,-99,106,70,-99,-99,109,55,-99,87,-99,91,96,110
"2019-01-03",4,-99,55,78,84,101,78,44,101,77,-99,84,-99,102,-99,-99,106,68,-99,-99,110,55,-99,88,-99,90,97,111
"2019-01-03",5,-99,55,78,84,101,78,45,101,78,-99,83,-99,102,-99,-99,105,68,-99,-99,110,58,-99,87,-99,88,97,112
"2019-01-03",6,-99,55,80,83,101,80,44,101,77,-99,81,-99,102,-99,-99,105,68,-99,-99,110,58,-99,87,-99,88,102,112
